                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91707,                 2.6573,                 1.3842,                0.79056,                0.68668,                0.75209,                  0.566,                0.89901,                 1.3249,                 1.4094,              0.0033122,              0.0033122,              0.0033122
                      2,                0.84165,                 1.2399,                 1.3059,                  0.654,                0.62992,                0.66343,                0.44843,                 1.0634,                  1.547,                 1.5817,              0.0066324,              0.0066324,              0.0066324
                      3,                0.93078,                 1.3116,                 1.3548,                0.51065,                0.47473,                0.49045,                0.30099,                 1.3721,                 2.1689,                 1.9556,              0.0099394,              0.0099394,              0.0099394
                      4,                 1.0497,                 1.4514,                 1.4477,                0.59233,                0.50652,                0.55498,                0.31863,                 1.4843,                 2.1967,                 2.1044,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.073,                 1.4845,                   1.46,                0.64042,                0.61636,                0.63904,                0.41156,                 1.2364,                 1.6846,                 1.7718,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0489,                 1.4167,                 1.4415,                0.53138,                0.51114,                0.53081,                0.31773,                 1.3874,                 2.0844,                 1.8973,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0509,                 1.3786,                 1.4356,                0.61512,                0.64727,                0.65731,                 0.4234,                 1.1915,                 1.4326,                 1.6809,               0.009901,               0.009901,               0.009901
                      8,                 1.0244,                 1.3579,                 1.4336,                0.70284,                0.57401,                0.63656,                0.42375,                 1.2474,                 1.5408,                 1.7799,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0096,                 1.3068,                 1.4153,                0.70142,                0.60477,                0.66733,                0.42099,                 1.2285,                 1.5143,                   1.77,              0.0098614,              0.0098614,              0.0098614
                     10,                 0.9941,                 1.2499,                 1.4042,                0.76744,                0.71686,                0.77312,                0.52541,                 1.1136,                 1.1838,                  1.627,              0.0098416,              0.0098416,              0.0098416
                     11,                0.99061,                 1.2558,                 1.3988,                0.81865,                0.73323,                0.80094,                0.57124,                 1.0447,                 1.0949,                  1.557,              0.0098218,              0.0098218,              0.0098218
                     12,                0.96108,                 1.1926,                  1.383,                0.79317,                0.71798,                0.79259,                  0.566,                 1.0175,                 1.1005,                 1.5114,               0.009802,               0.009802,               0.009802
                     13,                0.96878,                 1.2128,                 1.3749,                0.80775,                0.72059,                0.79102,                0.57464,                 1.0245,                 1.0928,                 1.5213,              0.0097822,              0.0097822,              0.0097822
                     14,                0.94814,                 1.1389,                 1.3566,                0.79026,                0.69471,                0.74546,                 0.5165,                  1.101,                 1.1602,                 1.6363,              0.0097624,              0.0097624,              0.0097624
                     15,                0.93901,                 1.1321,                 1.3602,                0.82276,                0.72478,                0.80818,                0.58053,                 1.0335,                 1.0615,                 1.5545,              0.0097426,              0.0097426,              0.0097426
                     16,                0.91524,                 1.1037,                 1.3366,                0.80494,                0.62675,                0.74938,                 0.5237,                 1.0984,                 1.1781,                 1.6019,              0.0097228,              0.0097228,              0.0097228
